,,,,,,,,,,,
,Snivy,,Learnset,,Servine,,Learnset,,Serperior,,Learnset
,Sewaddle,,Learnset,,Swadloon,,Learnset,,Leavanny,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Vine Whip,,,,1 - Vine Whip,,,,1 - Vine Whip
,,,5 - Bug Bite,,,,5 - Bug Bite,,,,5 - Bug Bite
,,,12 - Razor Leaf,,,,12 - Razor Leaf,,,,12 - Razor Leaf
,,,19 - Leech Seed,,,,19 - Leech Seed,,,,19 - Leech Seed
,BUG,GRASS,25 - Leech Life,,BUG,GRASS,25 - Leech Life,,BUG,GRASS,25 - Leech Life
,Ability 1,Adaptability,30 - Leaf Blade,,Ability 1,Adaptability,30 - Leaf Blade,,Ability 1,Adaptability,30 - Leaf Blade
,Ability 2,Adaptability,37 - X-Scissor,,Ability 2,Adaptability,37 - X-Scissor,,Ability 2,Adaptability,37 - X-Scissor
,Base Stats,,42 - Shadow Claw,,Base Stats,,42 - Shadow Claw,,Base Stats,,42 - Shadow Claw
,HP,45,47 - Protect,,HP,75(+20),47 - Protect,,HP,85(+10),47 - Protect
,Attack,73(+20),50 - Sacred Sword,,Attack,83(+20),50 - Sacred Sword,,Attack,103(+10),50 - Sacred Sword
,Defense,70,62 - Power Whip,,Defense,90,62 - Power Whip,,Defense,80,62 - Power Whip
,Special Attack,40,67 - U-Turn,,Special Attack,30(-20),67 - U-Turn,,Special Attack,50(-20),67 - U-Turn
,Special Defense,60,,,Special Defense,80,,,Special Defense,80,
,Speed,42,,,Speed,42,,,Speed,102(+10),
,,,,,Evolves at level 16.,,,,Evolves at level 30.,,
,,,,,,,,,"Now learns TM77, TM89",,
,,,,,,,,,,,
,,,,,,,,,,,
,Venipede,,Learnset,,Whirlipede,,Learnset,,Scolipede,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Poison Sting,,,,1 - Poison Sting,,,,1 - Poison Sting
,,,5 - Bug Bite,,,,5 - Bug Bite,,,,5 - Bug Bite
,,,12 - Poison Tail,,,,12 - Poison Tail,,,,12 - Poison Tail
,,,19 - Toxic,,,,19 - Toxic,,,,19 - Toxic
,BUG,POISON,25 - Leech Life,,BUG,POISON,25 - Leech Life,,BUG,POISON,25 - Leech Life
,Ability 1,Speed Boost,30 - Poison Jab,,Ability 1,Speed Boost,30 - Poison Jab,,Ability 1,Speed Boost,30 - Poison Jab
,Ability 2,Speed Boost,37 - X-Scissor,,Ability 2,Speed Boost,37 - X-Scissor,,Ability 2,Speed Boost,37 - X-Scissor
,Base Stats,,42 - Rock Climb,,Base Stats,,42 - Rock Climb,,Base Stats,,42 - Rock Climb
,HP,50(+20),47 - Protect,,HP,60(+20),47 - Protect,,HP,70(+10),47 - Protect
,Attack,65(+20),50 - Aqua Tail,,Attack,75(+20),50 - Aqua Tail,,Attack,110(+10),50 - Aqua Tail
,Defense,89(+30),62 - Gunk Shot,,Defense,99,62 - Gunk Shot,,Defense,94(+5),62 - Gunk Shot
,Special Attack,30,67 - Horn Drill,,Special Attack,40,67 - Horn Drill,,Special Attack,45(-10),67 - Horn Drill
,Special Defense,39,,,Special Defense,79,,,Special Defense,69,
,Speed,57,,,Speed,47,,,Speed,112,
,,,,,Evolves at level 16.,,,,Evolves at level 30.,,
,,,,,,,,,"Now learns TM26, TM80",,
,,,,,,,,,,,
,,,,,,,,,,,
,Cottonee,,Learnset,,Whimsicott,,Learnset,,,,
,,,1 - Leech Seed,,,,1 - Leech Seed,,,,
,,,5 - Absorb,,,,5 - Absorb,,,,
,,,8 - Charm,,,,8 - Charm,,,,
,,,10 - Fake Tears,,,,10 - Fake Tears,,,,
,,,13 - Mega Drain,,,,13 - Mega Drain,,,,
,GRASS,,19 - Stun Spore,,GRASS,,19 - Stun Spore,,,,
,Ability 1,Prankster,19 - PoisonPowder,,Ability 1,Prankster,19 - PoisonPowder,,,,
,Ability 2,Prankster,22 - Synthesis,,Ability 2,Prankster,22 - Synthesis,,,,
,Base Stats,,25 - Worry Seed,,Base Stats,,25 - Worry Seed,,,,
,HP,70(+30),30 - Giga Drain,,HP,90(+30),30 - Giga Drain,,,,
,Attack,27,34 - Taunt,,Attack,67(-10),34 - Taunt,,,,
,Defense,70(+10),37 - Energy Ball,,Defense,105(+20),37 - Energy Ball,,,,
,Special Attack,57(+20),40 - Helping Hand,,Special Attack,97(+20),40 - Helping Hand,,,,
,Special Defense,60(+10),43 - Encore,,Special Defense,85(+20),43 - Encore,,,,
,Speed,86(+20),60 - Leaf Storm,,Speed,116,60 - Leaf Storm,,,,
,,,,,Evolves via Sun Stone.,,,,,,
,,,,,"Now learns TM83, TM77",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Petilil,,Learnset,,Lilligant,,Learnset,,,,
,,,1 - Leech Seed,,,,1 - Leech Seed,,,,
,,,5 - Absorb,,,,5 - Absorb,,,,
,,,8 - Charm,,,,8 - Charm,,,,
,,,10 - Fake Tears,,,,10 - Fake Tears,,,,
,,,13 - Mega Drain,,,,13 - Mega Drain,,,,
,GRASS,,19 - Sleep Powder,,GRASS,,19 - Sleep Powder,,,,
,Ability 1,Chlorophyll,22 - Synthesis,,Ability 1,Chlorophyll,22 - Synthesis,,,,
,Ability 2,Own Tempo,25 - Stun Spore,,Ability 2,Own Tempo,25 - Stun Spore,,,,
,Base Stats,,30 - Giga Drain,,Base Stats,,30 - Giga Drain,,,,
,HP,65(+20),34 - Psychic,,HP,80(+10),34 - Psychic,,,,
,Attack,35,37 - Energy Ball,,Attack,60,37 - Energy Ball,,,,
,Defense,50,40 - Weather Ball,,Defense,75,40 - Weather Ball,,,,
,Special Attack,90(+20),43 - Earth Power,,Special Attack,120(+10),43 - Earth Power,,,,
,Special Defense,60(+10),50 - Petal Dance,,Special Defense,95(+20),50 - Petal Dance,,,,
,Speed,70(+40),60 - Leaf Storm,,Speed,110(+20),60 - Leaf Storm,,,,
,,,70 - Frenzy Plant,,Evolves via Sun Stone.,,70 - Frenzy Plant,,,,
,,,,,"Now learns TM19, TM21, TM29, TM77",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Basculin Red-Striped,,Learnset,,Basculin Blue-Striped,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,1 - Aqua Jet,,,,1 - Water Gun,,,,
,,,7 - Bite,,,,7 - Bite,,,,
,,,13 - Screech,,,,13 - Scary Face,,,,
,WATER,DARK,21 - Faint Attack,,WATER,DARK,21 - Snarl,,,,
,Ability 1,Rock Head,25 - Ice Fang,,Ability 1,Mold Breaker,25 - Aurora Beam,,,,
,Ability 2,Adaptability,30 - Scald,,Ability 2,Adaptability,30 - Scald,,,,
,Base Stats,,36 - Crunch,,Base Stats,,36 - Dark Pulse,,,,
,HP,70,40 - Waterfall,,HP,70,40 - Surf,,,,
,Attack,112(+20),60 - Aqua Tail,,Attack,80(-12),60 - Night Daze,,,,
,Defense,70(+5),70 - Superpower,,Defense,70(+5),70 - Hydro Cannon,,,,
,Special Attack,80,,,Special Attack,112(+32),,,,,
,Special Defense,70(+15),,,Special Defense,70(+15),,,,,
,Speed,98,,,Speed,98,,,,,
,Now learns TM33,,,,Now learns TM33,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sandile,,Learnset,,Krokorok,,Learnset,,Krookodile,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Leer,,,,1 - Leer,,,,1 - Leer
,,,1 - Sand Tomb,,,,1 - Sand Tomb,,,,1 - Sand Tomb
,,,7 - Bite,,,,7 - Bite,,,,7 - Bite
,,,10 - Foul Play,,,,10 - Foul Play,,,,10 - Foul Play
,GROUND,DARK,13 - Torment,,GROUND,DARK,13 - Torment,,GROUND,DARK,13 - Torment
,Ability 1,Intimidate,18 - Bulldoze,,Ability 1,Intimidate,18 - Bulldoze,,Ability 1,Intimidate,18 - Bulldoze
,Ability 2,Intimidate,25 - Dig,,Ability 2,Intimidate,25 - Dig,,Ability 2,Intimidate,25 - Dig
,Base Stats,,30 - Fire Punch,,Base Stats,,30 - Fire Punch,,Base Stats,,30 - Fire Punch
,HP,50,30 - ThunderPunch,,HP,60,30 - ThunderPunch,,HP,95,30 - ThunderPunch
,Attack,72,33 - Drill Run,,Attack,92(+10),33 - Drill Run,,Attack,122(+5),33 - Drill Run
,Defense,50(+15),36 - Crunch,,Defense,65(+20),36 - Crunch,,Defense,80(+10),36 - Crunch
,Special Attack,35,40 - Earthquake,,Special Attack,45,40 - Earthquake,,Special Attack,65,40 - Earthquake
,Special Defense,50(+15),50 - Aqua Tail,,Special Defense,65(+20),50 - Aqua Tail,,Special Defense,80(+10),50 - Aqua Tail
,Speed,65,60 - Close Combat,,Speed,79(+5),60 - Close Combat,,Speed,97(+5),60 - Close Combat
,,,70 - Fissure,,Evolves at level 25.,,70 - Fissure,,Evolves at level 40.,,70 - Fissure
,,,80 - Sucker Punch,,,,80 - Sucker Punch,,Now learns TM19,,80 - Sucker Punch
,,,,,,,,,,,
,,,,,,,,,,,
,Darumaka,,Learnset,,Darmanitan,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Ember,,,,1 - Ember,,,,
,,,5 - Taunt,,,,5 - Taunt,,,,
,,,10 - Bite,,,,10 - Bite,,,,
,,,16 - Fire Fang,,,,16 - Fire Fang,,,,
,FIRE,,20 - Headbutt,,FIRE,FIGHTING,20 - Headbutt,,,,
,Ability 1,Sheer Force,25 - Fire Punch,,Ability 1,Sheer Force,25 - Fire Punch,,,,
,Ability 2,Iron Fist,29 - Zen Headbutt,,Ability 2,Iron Fist,29 - Zen Headbutt,,,,
,Base Stats,,33 - Rock Slide,,Base Stats,,33 - Rock Slide,,,,
,HP,70,35 - Hammer Arm,,HP,105,35 - Hammer Arm,,,,
,Attack,90,40 - Sky Uppercut,,Attack,140,40 - Sky Uppercut,,,,
,Defense,45,55 - Flare Blitz,,Defense,65(+10),55 - Flare Blitz,,,,
,Special Attack,15,65 - Superpower,,Special Attack,30,65 - Superpower,,,,
,Special Defense,45,,,Special Defense,65(+10),,,,,
,Speed,70(+20),,,Speed,95,,,,,
,,,,,Evolves at level 40.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Maractus,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,1 - Growl,,,,,,,,
,,,5 - Mega Drain,,,,,,,,
,,,8 - Ingrain,,,,,,,,
,,,12 - Leech Seed,,,,,,,,
,GRASS,GROUND,16 - Mud Shot,,,,,,,,
,Ability 1,Storm Drain,23 - Sucker Punch,,,,,,,,
,Ability 2,Iron Barbs,27 - Giga Drain,,,,,,,,
,Base Stats,,30 - Synthesis,,,,,,,,
,HP,75,33 - Mud Bomb,,,,,,,,
,Attack,66(-20),37 - Energy Ball,,,,,,,,
,Defense,77(+10),42 - Earth Power,,,,,,,,
,Special Attack,116(+20),46 - Power Gem,,,,,,,,
,Special Defense,87(+10),50 - Protect,,,,,,,,
,Speed,85(+25),55 - Leaf Storm,,,,,,,,
,"Now learns TM19, TM36, TM77",,60 - Spikes,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Dwebble,,Learnset,,Crustle,,Learnset,,,,
,,,1 - Fury Cutter,,,,1 - Fury Cutter,,,,
,,,5 - Smack Down,,,,5 - Smack Down,,,,
,,,10 - Slash,,,,10 - Slash,,,,
,,,14 - Bug Bite,,,,14 - Bug Bite,,,,
,,,19 - Bulldoze,,,,19 - Bulldoze,,,,
,BUG,ROCK,22 - Knock Off,,BUG,ROCK,22 - Knock Off,,,,
,Ability 1,Shell Armor,25 - Leech Life,,Ability 1,Shell Armor,25 - Leech Life,,,,
,Ability 2,Shell Armor,30 - Rock Slide,,Ability 2,Shell Armor,30 - Rock Slide,,,,
,Base Stats,,34 - X-Scissor,,Base Stats,,34 - X-Scissor,,,,
,HP,60(+10),40 - Counter,,HP,75(+5),40 - Counter,,,,
,Attack,75(+10),44 - Rock Climb,,Attack,115(+20),44 - Rock Climb,,,,
,Defense,85,48 - Earthquake,,Defense,125,48 - Earthquake,,,,
,Special Attack,35,54 - Stone Edge,,Special Attack,65,54 - Stone Edge,,,,
,Special Defense,45(+10),65 - Rock Wrecker,,Special Defense,75,65 - Rock Wrecker,,,,
,Speed,55,,,Speed,45,,,,,
,,,,,Evolves at level 34.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Scraggy,,Learnset,,Scrafty,,Learnset,,,,
,,,1 - Headbutt,,,,1 - Headbutt,,,,
,,,1 - Torment,,,,1 - Torment,,,,
,,,6 - Low Kick,,,,6 - Low Kick,,,,
,,,11 - Taunt,,,,11 - Taunt,,,,
,,,15 - Beat Up,,,,15 - Beat Up,,,,
,DARK,FIGHTING,18 - Scary Face,,DARK,FIGHTING,18 - Scary Face,,,,
,Ability 1,Intimidate,21 - Brick Break,,Ability 1,Intimidate,21 - Brick Break,,,,
,Ability 2,Battle Armor,26 - Knock Off,,Ability 2,Battle Armor,26 - Knock Off,,,,
,Base Stats,,30 - Jump Kick,,Base Stats,,30 - Jump Kick,,,,
,HP,50,33 - Encore,,HP,75(+10),33 - Encore,,,,
,Attack,75,35 - Crunch,,Attack,100(+10),35 - Crunch,,,,
,Defense,70,39 - Drain Punch,,Defense,115,39 - Drain Punch,,,,
,Special Attack,35,45 - Vital Throw,,Special Attack,45,45 - Vital Throw,,,,
,Special Defense,70,50 - Detect,,Special Defense,115,50 - Detect,,,,
,Speed,48,55 - Focus Punch,,Speed,58,55 - Focus Punch,,,,
,,,60 - Close Combat,,Evolves at level 39.,,60 - Close Combat,,,,
,,,70 - Sucker Punch,,Now learns TM21,,70 - Sucker Punch,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sigilyph,,Learnset,,,,,,,,
,,,1 - Confusion,,,,,,,,
,,,1 - Gust,,,,,,,,
,,,6 - Gravity,,,,,,,,
,,,11 - Air Cutter,,,,,,,,
,,,16 - Hypnosis,,,,,,,,
,PSYCHIC,FLYING,20 - Psybeam,,,,,,,,
,Ability 1,Magic Guard,23 - Roost,,,,,,,,
,Ability 2,Magic Guard,25 - Psycho Shift,,,,,,,,
,Base Stats,,30 - Psyshock,,,,,,,,
,HP,82(+10),33 - Air Slash,,,,,,,,
,Attack,58,37 - Psychic,,,,,,,,
,Defense,80,42 - Aeroblast,,,,,,,,
,Special Attack,113(+10),44 - Heat Wave,,,,,,,,
,Special Defense,80,47 - Tailwind,,,,,,,,
,Speed,107(+10),50 - Skill Swap,,,,,,,,
,,,55 - Hurricane,,,,,,,,
,,,62 - Psycho Boost,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Yamask,,Learnset,,Cofagrigus,,Learnset,,,,
,,,1 - Astonish,,,,1 - Astonish,,,,
,,,1 - Night Shade,,,,1 - Night Shade,,,,
,,,5 - Haze,,,,5 - Haze,,,,
,,,10 - Hex,,,,10 - Hex,,,,
,,,15 - Disable,,,,15 - Disable,,,,
,GHOST,,20 - Mirror Shot,,GHOST,STEEL,20 - Mirror Shot,,,,
,Ability 1,Mummy,25 - Will-O-Wisp,,Ability 1,Mummy,25 - Will-O-Wisp,,,,
,Ability 2,Mummy,30 - Pain Split,,Ability 2,Mummy,30 - Pain Split,,,,
,Base Stats,,34 - Flash Cannon,,Base Stats,,34 - Flash Cannon,,,,
,HP,58(+20),40 - Shadow Ball,,HP,68(+10),40 - Shadow Ball,,,,
,Attack,30,44 - Aura Sphere,,Attack,50,44 - Aura Sphere,,,,
,Defense,85,47 - Wonder Room,,Defense,145,47 - Wonder Room,,,,
,Special Attack,55,50 - Imprison,,Special Attack,105(+10),50 - Imprison,,,,
,Special Defense,65,,,Special Defense,105,,,,,
,Speed,30,,,Speed,30,,,,,
,,,,,Evolves at level 46.,,,,,,
,,,,,Now learns TM21,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Tirtouga,,Learnset,,Carracosta,,Learnset,,,,
,,,1 - Smack Down,,,,1 - Smack Down,,,,
,,,1 - Water Gun,,,,1 - Water Gun,,,,
,,,10 - Aqua Jet,,,,10 - Aqua Jet,,,,
,,,13 - Bite,,,,13 - Bite,,,,
,,,19 - Wide Guard,,,,19 - Wide Guard,,,,
,WATER,ROCK,25 - Rock Slide,,WATER,ROCK,25 - Rock Slide,,,,
,Ability 1,Shell Armor,31 - Razor Shell,,Ability 1,Shell Armor,31 - Razor Shell,,,,
,Ability 2,Shell Armor,37 - Protect,,Ability 2,Shell Armor,37 - Protect,,,,
,Base Stats,,40 - Rock Climb,,Base Stats,,40 - Rock Climb,,,,
,HP,54,44 - Waterfall,,HP,74,44 - Waterfall,,,,
,Attack,78,50 - Stone Edge,,Attack,108,50 - Stone Edge,,,,
,Defense,103,55 - Superpower,,Defense,133,55 - Superpower,,,,
,Special Attack,53,60 - Aqua Tail,,Special Attack,63(-20),60 - Aqua Tail,,,,
,Special Defense,45,65 - Rock Wrecker,,Special Defense,85(+20),65 - Rock Wrecker,,,,
,Speed,22,70 - Stealth Rock,,Speed,32,70 - Stealth Rock,,,,
,,,,,Evolves at level 37.,,,,,,
,,,,,Now learns TM33,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Archen,,Learnset,,Archeops,,Learnset,,,,
,,,1 - Smack Down,,,,1 - Smack Down,,,,
,,,1 - Peck,,,,1 - Peck,,,,
,,,10 - Pluck,,,,10 - Pluck,,,,
,,,13 - Pursuit,,,,13 - Pursuit,,,,
,,,19 - Wide Guard,,,,19 - Wide Guard,,,,
,ROCK,FLYING,25 - Rock Slide,,ROCK,FLYING,25 - Rock Slide,,,,
,Ability 1,Klutz,31 - Acrobatics,,Ability 1,Klutz,31 - Acrobatics,,,,
,Ability 2,Klutz,37 - Crunch,,Ability 2,Klutz,37 - Crunch,,,,
,Base Stats,,40 - Rock Climb,,Base Stats,,40 - Rock Climb,,,,
,HP,55,44 - Fly,,HP,75,44 - Fly,,,,
,Attack,112,50 - Stone Edge,,Attack,140,50 - Stone Edge,,,,
,Defense,45,55 - Earthquake,,Defense,65,55 - Earthquake,,,,
,Special Attack,74,60 - Brave Bird,,Special Attack,112,60 - Brave Bird,,,,
,Special Defense,45,65 - U-Turn,,Special Defense,65,65 - U-Turn,,,,
,Speed,70,70 - Head Smash,,Speed,110,70 - Head Smash,,,,
,,,,,Evolves at level 37.,,,,,,
,,,,,Now learns TM19,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Trubbish,,Learnset,,Garbodor,,Learnset,,,,
,,,1 - Poison Gas,,,,1 - Poison Gas,,,,
,,,1 - Clear Smog,,,,1 - Clear Smog,,,,
,,,9 - Metal Claw,,,,9 - Metal Claw,,,,
,,,11 - Knock Off,,,,11 - Knock Off,,,,
,,,14 - Venoshock,,,,14 - Venoshock,,,,
,POISON,STEEL,20 - Acid Spray,,POISON,STEEL,20 - Acid Spray,,,,
,Ability 1,Heatproof,23 - Screech,,Ability 1,Heatproof,23 - Screech,,,,
,Ability 2,Heatproof,26 - Drain Punch,,Ability 2,Heatproof,26 - Drain Punch,,,,
,Base Stats,,30 - Toxic,,Base Stats,,30 - Toxic,,,,
,HP,60(+10),33 - Poison Jab,,HP,90(+10),33 - Poison Jab,,,,
,Attack,60(+10),36 - Iron Head,,Attack,105(+10),36 - Iron Head,,,,
,Defense,62,40 - Toxic Spikes,,Defense,92(+10),40 - Toxic Spikes,,,,
,Special Attack,40,44 - Gunk Shot,,Special Attack,60,44 - Gunk Shot,,,,
,Special Defense,62,50 - Guillotine,,Special Defense,92(+10),50 - Guillotine,,,,
,Speed,65,,,Speed,75,,,,,
,,,,,Evolves at level 36.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Zorua,,Learnset,,Zoroark,,Learnset,,,,
,,,1 - Taunt,,,,1 - Taunt,,,,
,,,5 - Knock Off,,,,5 - Knock Off,,,,
,,,10 - Snarl,,,,10 - Snarl,,,,
,,,15 - Hex,,,,15 - Hex,,,,
,,,20 - Fake Tears,,,,20 - Fake Tears,,,,
,DARK,GHOST,25 - U-Turn,,DARK,GHOST,25 - U-Turn,,,,
,Ability 1,Infiltrator,30 - Foul Play,,Ability 1,Infiltrator,30 - Foul Play,,,,
,Ability 2,Infiltrator,35 - Shadow Ball,,Ability 2,Infiltrator,35 - Shadow Ball,,,,
,Base Stats,,40 - Dark Pulse,,Base Stats,,40 - Dark Pulse,,,,
,HP,40,50 - Aura Sphere,,HP,60,50 - Aura Sphere,,,,
,Attack,65,60 - Night Daze,,Attack,105,60 - Night Daze,,,,
,Defense,40,65 - Sucker Punch,,Defense,60,65 - Sucker Punch,,,,
,Special Attack,80,,,Special Attack,120,,,,,
,Special Defense,40,,,Special Defense,60,,,,,
,Speed,85(+20),,,Speed,105,,,,,
,,,,,Evolves at level 30.,,,,,,
,,,,,Now learns TM31,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Minccino,,Learnset,,Cinccino,,Learnset,,,,
,,,1 - Pound,,,,1 - Pound,,,,
,,,1 - Helping Hand,,,,1 - Helping Hand,,,,
,,,5 - Charm,,,,5 - Charm,,,,
,,,10 - Headbutt,,,,10 - Headbutt,,,,
,,,15 - Knock Off,,,,15 - Knock Off,,,,
,NORMAL,,20 - Encore,,NORMAL,,20 - Encore,,,,
,Ability 1,Skill Link,26 - Tickle,,Ability 1,Skill Link,26 - Tickle,,,,
,Ability 2,Skill Link,29 - Fake Out,,Ability 2,Skill Link,29 - Fake Out,,,,
,Base Stats,,35 - Double Hit,,Base Stats,,35 - Double Hit,,,,
,HP,55,40 - Pin Missile,,HP,75,40 - Pin Missile,,,,
,Attack,70(+20),44 - Rock Blast,,Attack,105(+10),44 - Rock Blast,,,,
,Defense,50(+10),48 - Icicle Spear,,Defense,70(+10),48 - Icicle Spear,,,,
,Special Attack,40,54 - Arm Thrust,,Special Attack,65,54 - Arm Thrust,,,,
,Special Defense,50(+10),60 - DoubleSlap,,Special Defense,70(+10),60 - DoubleSlap,,,,
,Speed,75,70 - Tail Slap,,Speed,115,70 - Tail Slap,,,,
,,,,,Evolves via Shiny Stone.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Gothita,,Learnset,,Gothorita,,Learnset,,Gothitelle,,Learnset
,,,1 - Foul Play,,,,1 - Foul Play,,,,1 - Foul Play
,,,1 - Helping Hand,,,,1 - Helping Hand,,,,1 - Helping Hand
,,,5 - Confusion,,,,5 - Confusion,,,,5 - Confusion
,,,10 - Snarl,,,,10 - Snarl,,,,10 - Snarl
,,,15 - Psybeam,,,,15 - Psybeam,,,,15 - Psybeam
,PSYCHIC,DARK,20 - Charm,,PSYCHIC,DARK,20 - Charm,,PSYCHIC,DARK,20 - Charm
,Ability 1,Magic Bounce,23 - Psyshock,,Ability 1,Magic Bounce,23 - Psyshock,,Ability 1,Magic Bounce,23 - Psyshock
,Ability 2,Magic Bounce,26 - Follow Me,,Ability 2,Magic Bounce,26 - Follow Me,,Ability 2,Magic Bounce,26 - Follow Me
,Base Stats,,29 - Fake Tears,,Base Stats,,29 - Fake Tears,,Base Stats,,29 - Fake Tears
,HP,55(+10),37 - Psychic,,HP,70(+10),37 - Psychic,,HP,80(+10),37 - Psychic
,Attack,30,41 - Dark Pulse,,Attack,45,41 - Dark Pulse,,Attack,55,41 - Dark Pulse
,Defense,50,44 - Future Sight,,Defense,70,44 - Future Sight,,Defense,95,44 - Future Sight
,Special Attack,55,50 - Fake Out,,Special Attack,75,50 - Fake Out,,Special Attack,105(+10),50 - Fake Out
,Special Defense,65,55 - Night Daze,,Special Defense,95(+10),55 - Night Daze,,Special Defense,120(+10),55 - Night Daze
,Speed,45,60 - Psycho Boost,,Speed,55,60 - Psycho Boost,,Speed,65,60 - Psycho Boost
,,,,,Evolves at level 22.,,,,Evolves at level 41.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Solosis,,Learnset,,Duosion,,Learnset,,Reuniclus,,Learnset
,,,1 - Imprison,,,,1 - Imprison,,,,1 - Imprison
,,,1 - Helping Hand,,,,1 - Helping Hand,,,,1 - Helping Hand
,,,5 - Confusion,,,,5 - Confusion,,,,5 - Confusion
,,,10 - Vacuum Wave,,,,10 - Vacuum Wave,,,,10 - Vacuum Wave
,,,15 - Psybeam,,,,15 - Psybeam,,,,15 - Psybeam
,PSYCHIC,FIGHTING,20 - Wake-Up Slap,,PSYCHIC,FIGHTING,20 - Wake-Up Slap,,PSYCHIC,FIGHTING,20 - Wake-Up Slap
,Ability 1,Magic Guard,23 - Psyshock,,Ability 1,Magic Guard,23 - Psyshock,,Ability 1,Magic Guard,23 - Psyshock
,Ability 2,Magic Guard,26 - Pain Split,,Ability 2,Magic Guard,26 - Pain Split,,Ability 2,Magic Guard,26 - Pain Split
,Base Stats,,29 - Gravity,,Base Stats,,29 - Gravity,,Base Stats,,29 - Gravity
,HP,45,37 - Psychic,,HP,80(+15),37 - Psychic,,HP,110,37 - Psychic
,Attack,30,41 - Aura Sphere,,Attack,25(-15),41 - Aura Sphere,,Attack,45(-20),41 - Aura Sphere
,Defense,50(+10),44 - Future Sight,,Defense,80(+30),44 - Future Sight,,Defense,95(+20),44 - Future Sight
,Special Attack,105,50 - Encore,,Special Attack,125,50 - Encore,,Special Attack,135(+10),50 - Encore
,Special Defense,50,55 - Focus Blast,,Special Defense,80(+20),55 - Focus Blast,,Special Defense,95(+10),55 - Focus Blast
,Speed,20,60 - Psycho Boost,,Speed,20(-10),60 - Psycho Boost,,Speed,20(-10),60 - Psycho Boost
,,,,,Evolves at level 22.,,,,Evolves at level 41.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ducklett,,Learnset,,Swanna,,Learnset,,,,
,,,1 - Water Gun,,,,1 - Water Gun,,,,
,,,8 - Gust,,,,8 - Gust,,,,
,,,12 - BubbleBeam,,,,12 - BubbleBeam,,,,
,,,16 - Air Cutter,,,,16 - Air Cutter,,,,
,,,20 - FeatherDance,,,,20 - FeatherDance,,,,
,WATER,FLYING,23 - Icy Wind,,WATER,FLYING,23 - Icy Wind,,,,
,Ability 1,No Guard,25 - Helping Hand,,Ability 1,No Guard,25 - Helping Hand,,,,
,Ability 2,No Guard,30 - Air Slash,,Ability 2,No Guard,30 - Air Slash,,,,
,Base Stats,,34 - Scald,,Base Stats,,34 - Scald,,,,
,HP,62,38 - Roost,,HP,73,38 - Roost,,,,
,Attack,44,42 - Tailwind,,Attack,87,42 - Tailwind,,,,
,Defense,50,46 - Blizzard,,Defense,63,46 - Blizzard,,,,
,Special Attack,64(+20),52 - Hurricane,,Special Attack,107(+20),52 - Hurricane,,,,
,Special Defense,50,56 - Hydro Pump,,Special Defense,83(+20),56 - Hydro Pump,,,,
,Speed,75(+20),,,Speed,108(+10),,,,,
,,,,,Evolves at level 35.,,,,,,
,,,,,Now learns TM33,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Vanillite,,Learnset,,Vanillish,,Learnset,,Vanilluxe,,Learnset
,,,1 - Powder Snow,,,,1 - Powder Snow,,,,1 - Powder Snow
,,,1 - Mist,,,,1 - Mist,,,,1 - Mist
,,,10 - Icy Wind,,,,10 - Icy Wind,,,,10 - Icy Wind
,,,16 - Aurora Beam,,,,16 - Aurora Beam,,,,16 - Aurora Beam
,,,20 - Snarl,,,,20 - Snarl,,,,20 - Snarl
,ICE,,25 - Mirror Coat,,ICE,,25 - Mirror Coat,,ICE,DARK,25 - Mirror Coat
,Ability 1,Water Absorb,32 - Dark Pulse,,Ability 1,Water Absorb,32 - Dark Pulse,,Ability 1,Water Absorb,32 - Dark Pulse
,Ability 2,Weak Armor,38 - Ice Beam,,Ability 2,Weak Armor,38 - Ice Beam,,Ability 2,Weak Armor,38 - Ice Beam
